model,task,mean,std
clip,angle,0.7996243333333334,0.03263991330155969
clip,distance,4.822631666666667,0.6248278066174177
clip,multitask_angle,0.8952886666666666,0.05374883474395819
clip,multitask_distance,5.916097333333333,1.1986499134882267
retinanet,angle,0.743858,0.03324610196699755
retinanet,distance,4.7949633333333335,0.2715470675745431
retinanet,multitask_angle,0.9636970000000001,0.052471686574761416
retinanet,multitask_distance,6.974829666666667,1.2782188134205867
